source_frame,asset
0,girl_keyed_00.png
4,girl_keyed_01.png
8,girl_keyed_02.png
12,girl_keyed_03.png
16,girl_keyed_04.png
20,girl_keyed_05.png
24,girl_keyed_06.png
28,girl_keyed_07.png
32,girl_keyed_08.png
36,girl_keyed_09.png
40,girl_keyed_10.png
44,girl_keyed_11.png
48,girl_keyed_12.png
52,girl_keyed_13.png
56,girl_keyed_14.png
60,girl_keyed_15.png
64,girl_keyed_16.png
68,girl_keyed_17.png
72,girl_keyed_18.png
76,girl_keyed_19.png
80,girl_keyed_20.png
84,girl_keyed_21.png
88,girl_keyed_22.png
92,girl_keyed_23.png
96,girl_keyed_24.png
100,girl_keyed_25.png
104,girl_keyed_26.png
108,girl_keyed_27.png
112,girl_keyed_28.png
116,girl_keyed_29.png
120,girl_keyed_30.png
124,girl_keyed_31.png
128,girl_keyed_32.png
