source_frame,file
20,girl_pose_00.png
24,girl_pose_01.png
28,girl_pose_02.png
32,girl_pose_03.png
36,girl_pose_04.png
40,girl_pose_05.png
44,girl_pose_06.png
48,girl_pose_07.png
52,girl_pose_08.png
56,girl_pose_09.png
60,girl_pose_10.png
64,girl_pose_11.png
68,girl_pose_12.png
72,girl_pose_13.png
76,girl_pose_14.png
80,girl_pose_15.png
84,girl_pose_16.png
88,girl_pose_17.png
92,girl_pose_18.png
96,girl_pose_19.png
100,girl_pose_20.png
104,girl_pose_21.png
108,girl_pose_22.png
112,girl_pose_23.png
116,girl_pose_24.png
120,girl_pose_25.png
124,girl_pose_26.png
128,girl_pose_27.png
132,girl_pose_28.png
